feature1,feature2,feature3,cluster
69.0,44.0,46.0,0
70.0,46.0,56.0,0
67.0,47.0,52.0,0
68.0,48.0,48.0,0
70.0,49.0,55.0,0
60.0,50.0,49.0,0
60.0,50.0,56.0,0
59.0,54.0,47.0,0
57.0,54.0,51.0,0
63.0,48.0,51.0,0
49.0,42.0,52.0,1
50.0,43.0,45.0,1
51.0,44.0,50.0,1
47.0,49.0,42.0,1
45.0,54.0,53.0,1
40.0,54.0,48.0,1
38.0,54.0,55.0,1
46.0,54.0,44.0,1
48.0,54.0,46.0,1
43.0,48.0,50.0,1
27.0,46.0,51.0,2
19.0,46.0,55.0,2
26.0,54.0,54.0,2
21.0,54.0,57.0,2
22.0,57.0,55.0,2
24.0,60.0,52.0,2
27.0,60.0,50.0,2
20.0,61.0,49.0,2
26.0,62.0,55.0,2
23.0,54.0,52.0,2
31.0,70.0,77.0,3
38.0,71.0,75.0,3
39.0,71.0,75.0,3
31.0,72.0,71.0,3
35.0,74.0,72.0,3
32.0,77.0,74.0,3
38.0,78.0,76.0,3
30.0,78.0,78.0,3
30.0,78.0,73.0,3
32.0,73.0,73.0,3
39.0,69.0,91.0,4
40.0,71.0,95.0,4
29.0,73.0,88.0,4
32.0,76.0,87.0,4
28.0,77.0,97.0,4
34.0,78.0,90.0,4
39.0,78.0,88.0,4
27.0,78.0,89.0,4
31.0,81.0,93.0,4
32.0,75.0,93.0,4
